rank,feature_idx,feature_name,importance_mean,importance_std
65,94,f093,0.00936768561323217,0.0024143146204903673
66,164,f163,0.00917450466313515,0.002872818289401516
67,147,f146,0.008774702263249324,0.004227872074944895
68,155,f154,0.008708589751311427,0.00343174945939771
69,153,f152,0.008672205476797106,0.0032218367635404623
70,44,f043,0.008583391312384041,0.0030075685189629546
71,47,f046,0.00831532069969032,0.0033693943374698476
72,148,f147,0.008155435360118823,0.0024891355964768813
73,167,f166,0.008048515030212892,0.0032999045497818227
74,118,f117,0.008032334102245287,0.0036812972307261453
75,77,f076,0.007972356763118546,0.0034070509680568795
76,99,f098,0.007535497802675017,0.0031762541802600685
77,80,f079,0.0069079266471021,0.0031915360678296117
78,19,f018,0.006786638850428442,0.0035095657235919434
79,169,f168,0.0066901490448547565,0.002521974881842048
80,113,f112,0.006323248349625605,0.0025455399144775504
81,176,f175,0.005597398038287302,0.0024312675492043456
82,102,f101,0.005520306294958459,0.00268880525122022
83,112,f111,0.005420888650165323,0.002420836890559712
84,161,f160,0.005301645192853712,0.0022857694844905727
85,90,f089,0.004927816110592889,0.0031111377777269327
86,163,f162,0.004881369141966392,0.0022158365606677125
87,138,f137,0.004849347824648187,0.001983164667715973
88,151,f150,0.004590865972394056,0.0026919835431099036
89,123,f122,0.004547729804662688,0.002942028655135354
90,51,f050,0.004384801055519705,0.0025019569809354705
91,120,f119,0.004383564568317571,0.003041782835450971
92,26,f025,0.004357196427621508,0.002490437413889724
93,117,f116,0.004316223932866689,0.002297250777557535
94,71,f070,0.004302449623879575,0.0025426567416401394
95,110,f109,0.004295714261018828,0.0025898275680378913
96,119,f118,0.004283320011021724,0.0020119000148733734
97,192,f191,0.004228282079730668,0.0033145572366055963
98,87,f086,0.004220095228807756,0.002477641058004785
99,3,f002,0.00420865006031791,0.001613106267630167
100,121,f120,0.004129250384888046,0.00265950336323383
101,22,f021,0.0040665756799464475,0.0029316461356628546
102,132,f131,0.004047944469287161,0.002321094054915411
103,104,f103,0.004028626868757095,0.0021213585538843813
104,81,f080,0.003990384287740238,0.002383680454603005
105,23,f022,0.003989683191602196,0.003275801531306989
106,115,f114,0.0039805605332826005,0.0027380049776704355
107,203,f202,0.003916204890369879,0.0021590410916919
108,21,f020,0.003894869711886919,0.00270611970407484
109,168,f167,0.003840530814542626,0.0018203038431512573
110,191,f190,0.0038122308654767777,0.002272290939635755
111,37,f036,0.0037178950737266313,0.0027671942975283246
112,16,f015,0.003697514875890433,0.0029464769451938012
113,202,f201,0.003689374945758934,0.0019367160716050162
114,68,f067,0.003638380674861912,0.002327801750283568
115,79,f078,0.0035169765093793167,0.0022872305137398687
116,69,f068,0.003494777677435272,0.002632265717819529
117,194,f193,0.003476802995956056,0.002499120129445837
118,101,f100,0.0034628523398259462,0.0021894250127677383
119,24,f023,0.003460271141503419,0.0032882409864616506
120,61,f060,0.003388888047066865,0.002631081584413222
121,2,f001,0.0033853935997248284,0.0018894501794983498
122,62,f061,0.0033381238012947676,0.0021292017758752207
123,162,f161,0.0033254967244464597,0.0019269496443249149
124,67,f066,0.0033030042640229554,0.002133437572436471
125,64,f063,0.003275353760288926,0.0020191947445321505
126,100,f099,0.003274231058697415,0.0022698981926581553
127,98,f097,0.0032710340890326024,0.002447895587436139
128,197,f196,0.003252727677921592,0.002063290616800385
129,195,f194,0.003234886039045022,0.002367780550221216
130,27,f026,0.0032306579437360664,0.0022943320973933495
131,33,f032,0.0032141370679336263,0.002338329451232513
132,189,f188,0.0031998130675882975,0.002193445585114075
133,93,f092,0.003196093552314818,0.002505909816364711
134,17,f016,0.0031528076755659206,0.002337627020342508
135,141,f140,0.003111488335292587,0.002569936722135842
136,193,f192,0.003105499908682785,0.0016874678314812007
137,145,f144,0.003075367260396593,0.002046351922752958
138,96,f095,0.0030014466131831523,0.003217394477882314
139,199,f198,0.002994072096498308,0.0019746785469123363
140,88,f087,0.0029778995894665216,0.0016899146821981932
