record_id,model_id,training_loss,validation_loss,training_acc,validation_acc
0,3,1.5308654916286468,1.3416154766082764,0.330625,0.524375
1,3,1.2884828734397888,1.221096911430359,0.51984375,0.554375
2,3,1.2021499270200728,1.1579165196418761,0.54296875,0.571875
3,3,1.146159424185753,1.1121531558036803,0.56984375,0.594375
4,3,1.1019754427671433,1.0748821663856507,0.589375,0.61625
5,3,1.0644515866041184,1.042819423675537,0.6059375,0.636875
6,3,1.031301189661026,1.014267315864563,0.6196875,0.648125
7,3,1.0012752658128738,0.9883189606666565,0.63046875,0.658125
8,3,0.9736261123418808,0.9643941617012024,0.64234375,0.670625
9,3,0.9478726154565811,0.9421310591697692,0.65515625,0.675
10,3,0.9237278586626053,0.921266896724701,0.6690625,0.681875
11,3,0.9009280532598496,0.9015840244293213,0.68,0.69125
12,3,0.8792993158102036,0.8829534173011779,0.68921875,0.69875
13,3,0.8586725944280624,0.8652639126777649,0.700625,0.706875
14,3,0.8389400839805603,0.8483949899673462,0.71046875,0.7125
15,3,0.8200273126363754,0.8323197102546692,0.71796875,0.72125
16,3,0.8018486160039902,0.8169723725318909,0.7253125,0.728125
17,3,0.7843639844655991,0.8022706365585327,0.73203125,0.7375
18,3,0.767516804933548,0.7881264925003052,0.7409375,0.74125
19,3,0.7512560862302781,0.7744981384277344,0.74765625,0.746875
20,3,0.7355377382040024,0.7614086365699768,0.75421875,0.754375
21,3,0.7203495419025421,0.7488431191444397,0.76046875,0.75875
22,3,0.705653247833252,0.7367790555953979,0.76765625,0.76375
23,3,0.6914275068044663,0.7251470971107483,0.77390625,0.7675
24,3,0.6776352912187577,0.7139393377304077,0.77984375,0.770625
25,3,0.6642526632547379,0.70312509059906,0.783125,0.774375
26,3,0.6512730845808983,0.692679386138916,0.78859375,0.778125
27,3,0.6386828610301017,0.6825878548622132,0.7925,0.780625
28,3,0.6264592057466507,0.6728345227241516,0.79890625,0.785
29,3,0.614563362300396,0.6633945631980896,0.80296875,0.79125
